storefront,config_id,sku,customer_item_number,description,packaging_level,gtin,barcode_type,barcode_level,length_in,width_in,height_in,case_qty,each_net_weight_g,package_net_weight_g,gross_weight_lbs,label_template_id,default_copies,pack_statement,verification_status,label_enabled,is_active,source_note
DecoPac,DECOPAC-62924-CASE,,62924,Neon Pink Edible Glitter Dust 10g Pumps,Case,607772629240,UPC_A,CASE,11,8,12,96,10,960,,DECOPAC_CASE_4X6,,96 units per case,NEEDS_REVIEW,true,true,UPC machine verified. Source calls 5216g/11.5lb Net Weight Case although calculated product net is 960g.
DecoPac,DECOPAC-62922-CASE,,62922,Christmas Red Edible Glitter Dust 10g Pumps,Case,,UPC_A,CASE,11,8,12,96,10,960,,DECOPAC_CASE_4X6,,96 units per case,NEEDS_REVIEW,true,true,Barcode and internal SKU required. Source case value 5216g/11.5lb requires definition.
DecoPac,DECOPAC-29364-CASE,,29364,Bright Gold Edible Glitter Dust 25g Pumps,Case,,UPC_A,CASE,11.25,8.75,12,48,25,1200,,DECOPAC_CASE_4X6,,48 units per case,NEEDS_REVIEW,true,true,Source separately shows 8.5lb box weight; do not populate gross until definition is confirmed.
DecoPac,DECOPAC-62921-CASE,,62921,Silver Edible Glitter Dust 10g Pumps,Case,607772629219,UPC_A,CASE,11.25,8.75,12,96,10,960,,DECOPAC_CASE_4X6,,96 units per case,NEEDS_REVIEW,true,true,UPC machine verified. Source case value 5216g/11.5lb requires definition.
DecoPac,DECOPAC-62923-CASE,,62923,Classic Green Edible Glitter Dust 10g Pumps,Case,607772629233,UPC_A,CASE,11,8,12,96,10,960,,DECOPAC_CASE_4X6,,96 units per case,NEEDS_REVIEW,true,true,UPC machine verified. Source case value 5216g/11.5lb requires definition.
DecoPac,DECOPAC-62925-CASE,,62925,Soft Pink Edible Glitter Dust 10g Pumps,Case,607772629257,UPC_A,CASE,11,8,12,96,10,960,,DECOPAC_CASE_4X6,,96 units per case,NEEDS_REVIEW,true,true,UPC machine verified. Source case value 5216g/11.5lb requires definition.
DecoPac,DECOPAC-29370-CASE,,29370,Neon Pink Edible Glitter Dust 4g Jars,Case,,UPC_A,CASE,10,10,3,96,4,384,,DECOPAC_CASE_4X6,,96 units per case,NEEDS_REVIEW,true,true,INFO also lists a 4g Pumps workflow but this source row is 4g Jars.
DecoPac,DECOPAC-29363-CASE,,29363,Silver Edible Glitter Dust 25g Pumps,Case,,UPC_A,CASE,11.25,8.75,12,48,25,1200,,DECOPAC_CASE_4X6,,48 units per case,NEEDS_REVIEW,true,true,Source separately shows 8.5lb box weight; confirm gross definition.
DecoPac,DECOPAC-29352-CASE,,29352,Gold Shimmer Rocks 1lb Bags,Case,,UPC_A,CASE,20,8,8,25,454,11350,,DECOPAC_CASE_4X6,,25 units per case,NEEDS_REVIEW,true,true,Barcode and internal SKU required.
DecoPac,DECOPAC-62927-CASE,,62927,Rose Gold Edible Glitter Dust 25g Pumps,Case,,UPC_A,CASE,11.25,8.75,12,48,25,1200,,DECOPAC_CASE_4X6,,48 units per case,NEEDS_REVIEW,true,true,Source separately shows 8.5lb box weight; confirm gross definition.
DecoPac,DECOPAC-29365-CASE,,29365,Ivory Edible Glitter Dust 25g Pumps,Case,,UPC_A,CASE,11.25,8.75,12,48,25,1200,,DECOPAC_CASE_4X6,,48 units per case,NEEDS_REVIEW,true,true,Historical artwork lot differs from current source; lots are run data and are not seeded.
DecoPac,DECOPAC-65920-CASE,,65920,Bright Gold Edible Glitter Dust 10g Pumps,Case,,UPC_A,CASE,11,8,12,96,10,960,,DECOPAC_CASE_4X6,,96 units per case,NEEDS_REVIEW,true,true,Source text says 65920; visually inspected barcode may correspond to 62920. Confirm item number before enabling.
DecoPac,DECOPAC-29355-CASE,,29355,Metallic Gold Rods 1lb Bags,Case,,UPC_A,CASE,20,8,8,25,454,11350,,DECOPAC_CASE_4X6,,25 units per case,NEEDS_REVIEW,true,true,Source example lot is blank; lot remains required run data.
DecoPac,DECOPAC-62926-CASE,,62926,White Pearl Edible Glitter Dust 25g Pumps,Case,,UPC_A,CASE,11.25,8.75,12,48,25,1200,,DECOPAC_CASE_4X6,,48 units per case,NEEDS_REVIEW,true,true,Source separately shows 8.5lb box weight; confirm gross definition.
DecoPac,DECOPAC-29351-CASE,,29351,Champagne Shimmer Rocks 1lb Bags,Case,,UPC_A,CASE,20,8,8,25,454,11350,,DECOPAC_CASE_4X6,,25 units per case,NEEDS_REVIEW,true,true,Barcode and internal SKU required.
DecoPac,DECOPAC-29353-CASE,,29353,Silver Shimmer Rocks 1lb Bags,Case,,UPC_A,CASE,20,8,8,25,454,11350,,DECOPAC_CASE_4X6,,25 units per case,NEEDS_REVIEW,true,true,Generated example carton range is run data and is not seeded.
DecoPac,DECOPAC-29354-CASE,,29354,White Shimmer Rods 1lb Bags,Case,,UPC_A,CASE,20,8,8,25,454,11350,,DECOPAC_CASE_4X6,,25 units per case,NEEDS_REVIEW,true,true,Barcode and internal SKU required.
DecoPac,DECOPAC-50250-CASE,,50250,Bright Gold Edible Glitter Dust 4g Jars,Case,,UPC_A,CASE,6,4,4,12,4,48,,DECOPAC_CASE_4X6,,12 units per case,NEEDS_REVIEW,true,true,Generated carton range and page-helper values are run/UI data and are not seeded.
Generic Wholesale,MIXED-ECG-4G-96,ECG-MIXED-4G-WS-96CT,,Mixed Multi Colored Brew Glitter,Case,,NONE,NONE,,,,96,,,,MIXED_CASE_3X1_5,,96 Unit Wholesale Case,NEEDS_REVIEW,true,true,Confirmed internal mixed-case SKU; copy/order rule not confirmed.
Generic Wholesale,MIXED-ECG-4GPUMP-96,ECG-MIXED-4GPUMP-WS-96CT,,Mixed Brew Glitter Mini Pumps 4g,Case,,NONE,NONE,,,,96,,,,MIXED_CASE_3X1_5,,96 Unit Wholesale Case,NEEDS_REVIEW,true,true,Confirmed internal mixed-case SKU; copy/order rule not confirmed.
Generic Wholesale,MIXED-ECG02-4G-96,ECG-MIXED02-4G-WS-96CT,,Brew Glitter Best-Selling Colors,Case,,NONE,NONE,,,,96,,,,MIXED_CASE_3X1_5,,96 Unit Wholesale Case,NEEDS_REVIEW,true,true,Confirmed internal mixed-case SKU; copy/order rule not confirmed.
Generic Wholesale,MIXED-EJD-5G-96,EJD-MIXED-5G-WS-96CT,,Mixed Multi Colored Tinker Dust,Case,,NONE,NONE,,,,96,,,,MIXED_CASE_3X1_5,,96 Unit Wholesale Case,NEEDS_REVIEW,true,true,Confirmed internal mixed-case SKU; copy/order rule not confirmed.
Generic Wholesale,MIXED-EJD-4GPUMP-96,EJD-MIXED-4GPUMP-WS-96CT,,Mixed Tinker Dust Mini Pumps 4g,Case,,NONE,NONE,,,,96,,,,MIXED_CASE_3X1_5,,96 Unit Wholesale Case,NEEDS_REVIEW,true,true,Confirmed internal mixed-case SKU; copy/order rule not confirmed.
Generic Wholesale,MIXED-EJD02-5G-96,EJD-MIXED02-5G-WS-96CT,,Tinker Dust Best-Selling Colors,Case,,NONE,NONE,,,,96,,,,MIXED_CASE_3X1_5,,96 Unit Wholesale Case,NEEDS_REVIEW,true,true,Confirmed internal mixed-case SKU; copy/order rule not confirmed.
